"campaign_type","class_of_mail","days_to_response","n","mean_daily_resp_rate","mean_pct_resp","n_daily_resp","mean_cum_rr"
"bau","1st",63,715,7.75614383932189e-05,0.00679037433286713,369.667978681287,0.876441160177622
"bau","1st",64,715,6.47436415476953e-05,0.00415857928671329,226.393056368671,0.880599739464336
"bau","1st",65,715,4.33577416285858e-05,0.00376493882377622,204.963269566378,0.884364678288112
"bau","1st",66,715,3.10545715827883e-05,0.00268691757202797,146.275792621203,0.88705159586014
"bau","1st",67,715,4.9020761958676e-05,0.00440798665734266,239.970793625734,0.891459582517482
"bau","1st",68,715,6.95600667322814e-05,0.00574946706433566,313.000986982434,0.897209049581818
"bau","1st",69,715,9.00971559666635e-05,0.00727482084055944,396.041246560056,0.904483870422378
"bau","1st",70,715,6.78928773624198e-05,0.00609623297062937,331.878922921063,0.910580103393007
"bau","1st",71,715,7.46417455061626e-05,0.00505015405454545,274.930386729455,0.915630257447552
"bau","1st",72,715,7.78503340825708e-05,0.00539317761118881,293.604589153119,0.921023435058741
"bau","1st",73,715,3.56747986538633e-05,0.00358940959020979,195.407458091021,0.924612844648951
"bau","1st",74,715,5.26252935460689e-05,0.0041842280951049,227.78937749751,0.928797072744056
"bau","1st",75,715,7.00618794384991e-05,0.00449580352727273,244.751544024727,0.933292876271329
"bau","1st",76,715,6.5101926071019e-05,0.00512746957902098,279.139443881902,0.93842034585035
"bau","1st",77,715,5.34521856350261e-05,0.00407913350769231,222.068028158769,0.942499479358042
"bau","1st",78,715,4.65479134195739e-05,0.00344191801538462,187.378016757538,0.945941397373427
"bau","1st",79,715,4.95233116959682e-05,0.00431735608391608,235.036865208392,0.950258753457343
"bau","1st",80,715,2.87177648838758e-05,0.0027644695034965,150.49771977035,0.953023222960839
"bau","1st",81,715,4.23894680644054e-05,0.0055078200979021,299.84572612979,0.958531043058741
"bau","1st",82,715,5.58377945326394e-05,0.0054933168,299.056166592,0.964024359858741
"bau","1st",83,715,6.64383542150014e-05,0.00666190405734266,362.674056881734,0.970686263916084
"bau","1st",84,715,6.66079103700056e-05,0.00550251014685315,299.556652394685,0.976188774062937
"bau","1st",85,715,6.33963270644917e-05,0.00484906406853147,263.983047890853,0.981037838131468
"bau","1st",86,715,3.45467182951133e-05,0.00277862890489511,151.26855758249,0.983816467036364
"bau","1st",87,715,3.63545133820702e-05,0.00397137130489511,216.20145383849,0.987787838341259
"bau","1st",88,715,4.52163785909322e-05,0.00374592796503497,203.928318416504,0.991533766306294
"bau","1st",89,715,4.40823141426723e-05,0.00373377735104895,203.266838991105,0.995267543657343
"bau","1st",90,715,5.50389800218416e-05,0.00473245671188811,257.634943395189,1.00000000036923
"bau","3rd",0,775,0.000114855903395531,0.010916456003871,1042.37963444163,0.010916456003871
"bau","3rd",1,775,9.9249311031628e-05,0.00979957285290323,935.73181300517,0.0207160288567742
"bau","3rd",2,775,8.74544601647191e-05,0.00876511549806452,836.954583563686,0.0294811443548387
"bau","3rd",3,775,7.13104927576994e-05,0.00646433421290323,617.25988098749,0.0359454785677419
"bau","3rd",4,775,0.000109762051274101,0.0109661760645161,1047.12725387245,0.0469116546322581
"bau","3rd",5,775,0.000136654501277378,0.0129917323896774,1240.54155069313,0.0599033870219355
"bau","3rd",6,775,0.000273319147912728,0.0247372193148387,2362.082860716,0.0846406063367742
"bau","3rd",7,775,0.000295729993853875,0.0262203503909677,2503.70259778234,0.110860956727742
"bau","3rd",8,775,0.000392253085713428,0.0336630643135484,3214.3850221078,0.14452402104129
"bau","3rd",9,775,0.000363277827813143,0.0324380800309677,3097.41494791702,0.176962101072258
"bau","3rd",10,775,0.00040967547719021,0.0356944516451613,3408.35610424152,0.212656552717419
"bau","3rd",11,775,0.000412877839355816,0.0393385735212903,3756.32236982745,0.25199512623871
"bau","3rd",12,775,0.000360162850725578,0.0334207884554839,3191.25082724879,0.285415914694194
"bau","3rd",13,775,0.000570945375701289,0.0502859452722581,4801.65405621211,0.335701859966452
"bau","3rd",14,775,0.000393181370157967,0.0354654220890323,3386.48675901542,0.371167282055484
"bau","3rd",15,775,0.000301439865387911,0.027683526916129,2643.41693464041,0.398850808971613
"bau","3rd",16,775,0.000236885658207608,0.0205519731690323,1962.44626199138,0.419402782140645
"bau","3rd",17,775,0.000228660769971052,0.0195538399483871,1867.13751515164,0.438956622089032
"bau","3rd",18,775,0.000232918977673502,0.0207267550206452,1979.13565665634,0.459683377109677
"bau","3rd",19,775,0.000191850214181694,0.0176180394180645,1682.29372991273,0.477301416527742
"bau","3rd",20,775,0.000270528834469857,0.0259310671148387,2476.0798055946,0.503232483642581
"bau","3rd",21,775,0.000250717692549519,0.0216421123058065,2066.54037774454,0.524874595948387
"bau","3rd",22,775,0.000174328428731759,0.0148437037574194,1417.3807406847,0.539718299705806
"bau","3rd",23,775,0.000151835367191046,0.0126117565019355,1204.25879310031,0.552330056207742
"bau","3rd",24,775,0.000145048409906722,0.0135866486645161,1297.34832102865,0.565916704872258
"bau","3rd",25,775,0.000139942789481951,0.0133058713729032,1270.53773978441,0.579222576245161
"bau","3rd",26,775,0.000119166836732707,0.01064580752,1016.53622266224,0.589868383765161
"bau","3rd",27,775,0.000206961404903505,0.0176444122503226,1684.81199254655,0.607512796015484
"bau","3rd",28,775,0.000162490701888818,0.0141357457070968,1349.77995033355,0.621648541722581
"bau","3rd",29,775,0.000130964012015011,0.0105675168154839,1009.06047816011,0.632216058538065
"bau","3rd",30,775,0.000105206590774122,0.00922534368516129,880.900392464996,0.641441402223226
"bau","3rd",31,775,0.000100891304601442,0.00906156718580645,865.261865871101,0.650502969409032
"bau","3rd",32,775,9.59331480042637e-05,0.00895928064903226,855.494831334143,0.659462250058064
"bau","3rd",33,775,9.1019971654382e-05,0.00867637138451613,828.480674393292,0.668138621442581
"bau","3rd",34,775,0.000160593900912374,0.0150789371716129,1439.8424737058,0.683217558614194
"bau","3rd",35,775,0.000102719588352178,0.00890299270322581,850.120064252922,0.692120551317419
"bau","3rd",36,775,8.41586568193857e-05,0.00714095198580645,681.868082268701,0.699261503303226
"bau","3rd",37,775,7.77643470923185e-05,0.00688824527483871,657.737876558524,0.706149748578065
"bau","3rd",38,775,9.80078925452339e-05,0.00806199972645161,769.816167879685,0.714211748304516
"bau","3rd",39,775,7.4533639464239e-05,0.00728287018580645,695.419425432101,0.721494618490323
"bau","3rd",40,775,8.28109852456426e-05,0.00762099707096774,727.706147315497,0.72911561556129
"bau","3rd",41,775,9.44064110844636e-05,0.00944074399096774,901.468321465537,0.738556359552258
"bau","3rd",42,775,9.34612944238053e-05,0.00844674197806452,806.554051259446,0.747003101530323
"bau","3rd",43,775,6.51887537074583e-05,0.00605286255870968,577.969687143511,0.753055964089032
"bau","3rd",44,775,7.70511892687242e-05,0.00601524861806452,574.378044793126,0.759071212707097
"bau","3rd",45,775,9.02857344248193e-05,0.00686671270064516,655.681795646504,0.765937925407742
"bau","3rd",46,775,5.99885498702694e-05,0.00601386571096774,574.245995143177,0.77195179111871
"bau","3rd",47,775,6.57582454604573e-05,0.00620149690193548,592.162334675114,0.778153288020645
"bau","3rd",48,775,0.000106800386429515,0.0100622512154839,960.814181812908,0.788215539236129
"bau","3rd",49,775,7.56898529921996e-05,0.00685591795354839,654.651037630475,0.795071457189677
"bau","3rd",50,775,5.22827250260828e-05,0.0060229643716129,575.114798952201,0.80109442156129
"bau","3rd",51,775,5.01330794117884e-05,0.00496217566709677,473.82326792407,0.806056597228387
"bau","3rd",52,775,5.94914402746829e-05,0.00548272366967742,523.528835046488,0.811539320898064
"bau","3rd",53,775,6.01961841050812e-05,0.00497215658580645,474.776315908901,0.816511477483871
"bau","3rd",54,775,6.42966906505183e-05,0.00587044760774194,560.551430720454,0.822381925091613
"bau","3rd",55,775,6.61108235535946e-05,0.00656586697806452,626.954940134446,0.828947792069677
"bau","3rd",56,775,8.61722715987216e-05,0.00705164898967742,673.340807077328,0.835999441059355
"bau","3rd",57,775,5.05375198497298e-05,0.00439444352129032,419.612228517449,0.840393884580645
"bau","3rd",58,775,5.17302026023723e-05,0.00510795732774194,487.743521354094,0.845501841908387
"bau","3rd",59,775,5.78984580797567e-05,0.00530751961419355,506.799125400499,0.850809361522581
"bau","3rd",60,775,5.23388494555277e-05,0.00537370719483871,513.119178913564,0.856183068717419
"bau","3rd",61,775,5.30424475319735e-05,0.0047219061083871,450.880648571559,0.860904974825806
"bau","3rd",62,775,5.68127790073158e-05,0.00562017570451613,536.653717497132,0.866525150530323
"bau","3rd",63,775,6.23741526208493e-05,0.00639600384,610.73521867008,0.872921154370323
"bau","3rd",64,775,4.78198754025949e-05,0.00478802930967742,457.194554693168,0.87770918368
"bau","3rd",65,775,6.11790805597078e-05,0.00526191280645161,502.444268149645,0.882971096486452
"bau","3rd",66,775,6.10016633772972e-05,0.00576669557935484,550.644460785855,0.888737792065806
"bau","3rd",67,775,4.36184836056027e-05,0.00443412696774194,423.401481768774,0.893171919033548
"bau","3rd",68,775,4.74268906334046e-05,0.00439610947741935,419.771305670342,0.897568028510968
"bau","3rd",69,775,7.37012643876035e-05,0.00682265967870968,651.475304740951,0.904390688189677
"bau","3rd",70,775,5.85911348399692e-05,0.0048596976516129,464.037949659561,0.90925038584129
"bau","3rd",71,775,4.53617195371851e-05,0.00476271134322581,454.777018030603,0.914013097184516
"bau","3rd",72,775,4.20630770475594e-05,0.00351277847096774,335.424677857297,0.917525875655484
"bau","3rd",73,775,5.46542221039525e-05,0.00527244314064516,503.449778170784,0.922798318796129
"bau","3rd",74,775,4.93516883500906e-05,0.00423402335612903,404.294188206693,0.927032342152258
"bau","3rd",75,775,4.52434088458898e-05,0.00542212663354839,517.742605857635,0.932454468785806
"bau","3rd",76,775,7.12328389506376e-05,0.00707836999741935,675.892315943582,0.939532838783226
